full_name,contact_id
Unknown - Unknown,0011N00001FFmPhQAL
Berkadia Real Estate Advisors - Robert DePietrae - 206-521-7221,0011N00001FFmPiQAL
Center Management Corporation - Patricia Brademas - 574-254-5655,0011N00001FFmPjQAL
Housing Authority City Of Terre Haute -  - 812-232-1381,0011N00001FFmPkQAL
"Catholic Community Services of Southern Arizona, I -  - 520-623-0344",0011N00001FFmPlQAL
"JL Gray Company, Inc. -  - 505-325-6515",0011N00001FFmPmQAL
Westminister Company - Gary Jennison - 336-375-1552,0011N00001FFmPnQAL
Trowell Housing Incorporated -  - 912-285-6083,0011N00001FFmPoQAL
Helene W Chaban - Morris Chaban - 949-367-0508,0011N00001FFmPpQAL
Metropolitan realty - Metropolitan Realty - 617-720-6200,0011N00001FFmPqQAL
CNGREGTE HSNG FOR ELD & HNDICPD OF CNTRL OKLA - CNGREGTE OKLA - 405-732-0644,0011N00001FFmPrQAL
"Universal Management Service, Inc. -  - 708-444-4942",0011N00001FFmPsQAL
"Historic Pastures Mansions, LLC. - LLC Histo - 315-337-1401",0011N00001FFmPtQAL
"Village Housing, Inc. -  - 712-324-4873",0011N00001FFmPuQAL
Hemet Estates Affordable - Jenn Fleming - 949-753-0555,0011N00001FFmPvQAL
Good Samaritan Housing Limited Partners - Raye Nylander - 605-362-3101,0011N00001FFmPwQAL
JCH Management Corporation -  - 617-912-8483,0011N00001FFmPxQAL
Eucalyptus Park Housing Lp - Mae Clark - 310-677-7482,0011N00001FFmPyQAL
Fountain Park Association - ,0011N00001FFmPzQAL
"Knudson Management Co., Inc. -  - 712-328-2222",0011N00001FFmQ0QAL
"Sandalwood Management USA, LP -  - 512-329-8480",0011N00001FFmQ1QAL
"WINDMILL H.D.F.C., INC. -  - 516-324-7195",0011N00001FFmQ2QAL
C.A.S. Computerized Accounting and Mgmt.  Services -  - 307-877-2274,0011N00001FFmQ3QAL
Wabuck Southern Indiana Properties -  - 270-259-5607,0011N00001FFmQ4QAL
"Hill Manor I, Inc. -  - 614-231-8816",0011N00001FFmQ5QAL
